,Experiment name:,WILLIAMP2;
Duration:,2 0;
Rate:,100 per second;
Sensors:,Blood pressure (ID 3  Exp 1);
Range:,mm Hg;
Units:,mm Hg;
Time;
'0:0:4.5;178.3
'0:0:4.51;178.18
'0:0:4.52;178.06
'0:0:4.53;177.94
'0:0:4.54;178.06
'0:0:4.55;180.24
'0:0:4.56;182.3
'0:0:4.57;186.17
'0:0:4.58;189.2
'0:0:4.59;193.56
'0:0:4.6;196.35
'0:0:4.61;200.34
'0:0:4.62;202.77
'0:0:4.63;205.8
'0:0:4.64;207.37
'0:0:4.65;209.07
'0:0:4.66;209.67
'0:0:4.67;209.67
'0:0:4.68;209.19
'0:0:4.69;208.58
'0:0:4.7;208.22
'0:0:4.71;207.86
'0:0:4.72;207.49
'0:0:4.73;207.13
'0:0:4.74;207.01
'0:0:4.75;206.64
'0:0:4.76;206.52
'0:0:4.77;206.28
'0:0:4.78;206.04
'0:0:4.79;205.8
'0:0:4.8;205.67
'0:0:4.81;205.55
'0:0:4.82;205.31
'0:0:4.83;205.19
'0:0:4.84;205.07
'0:0:4.85;204.83
'0:0:4.86;204.83
'0:0:4.87;204.71
'0:0:4.88;204.58
'0:0:4.89;204.46
'0:0:4.9;204.46
'0:0:4.91;204.34
'0:0:4.92;204.22
'0:0:4.93;204.1
'0:0:4.94;203.98
'0:0:4.95;203.86
'0:0:4.96;203.74
'0:0:4.97;203.62
'0:0:4.98;203.62
'0:0:4.99;203.49
'0:0:5.0;203.37
'0:0:5.01;203.25
'0:0:5.02;203.25
'0:0:5.03;203.13
'0:0:5.04;203.01
'0:0:5.05;202.89
'0:0:5.06;202.89
'0:0:5.07;202.77
'0:0:5.08;202.77
'0:0:5.09;202.65
'0:0:5.1;202.53
'0:0:5.11;202.53
'0:0:5.12;202.4
'0:0:5.13;202.4
'0:0:5.14;202.28
'0:0:5.15;202.16
'0:0:5.16;202.16
'0:0:5.17;202.16
'0:0:5.18;202.16
'0:0:5.19;202.04
'0:0:5.2;201.92
'0:0:5.21;201.92
'0:0:5.22;201.92
'0:0:5.23;201.92
